All,Kõik
Message,Sõnum
Actions,Toimingud
"Manage Shopping Cart","Halda ostukorvi"
"Create Order","Uus tellimus"
Back,Tagasi
"Add Products","Lisa toode"
"Update Items and Quantities","Värskenda artikleid ja koguseid"
"Are you sure you want to clear your cart?","Kas soovite tühjendada oma ostukorvi?"
"Clear my shopping cart","Tühjenda ostukorv"
"Add selections to my cart","Lisa valik minu ostukorvi"
Cancel,Tühista
"Shopping Cart for %1 in %2","%1 ostukorv %2 poes."
"Select products you want to buy","Valige tooted mida soovite osta"
Product,Toode
Price,Hind
Quantity,Kogus
"Products in the Comparison List (%1)","Tooted võrdluslistis (%1)"
"Last ordered items (%1)","Viimati tellitud kaubad (%1)"
Products,Tooted
SKU,Laokood
"Recently Compared Products (%1)","Viimati võrreldud tooted (%1)"
"Recently Viewed Products (%1)","Viimati vaadatud tooted (%1)"
"Add to Shopping Cart by SKU","Lisa ostukorvi SKU alusel"
"Add to Shopping Cart","Lisa ostukorvi"
"Wish List (%1)","Soovinimekiri (%1)"
Apply,Rakenda
Configure,Seadista
"Add to Order by SKU","Lisa tellimusse SKU alusel"
"Add to Order","Lisa tellimusele"
"Add Products to Order","Lisa tooteid tellimusse"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> toote(d) vajavad tähelepanu.</span>"
"Remove All","Eemalda kõik"
"Only %1%2%3 left in stock","Lattu jäänud vaid %1%2%3"
"You can buy up to %1 of these per purchase.","Iga ostu kohta saate neid osta %1."
"You must buy at least %1 of these per purchase.","Ostu miinimumkogus nende puhul on %1."
"Specify the product's options.","Määrata toote Valikud."
"Alert me when this item is available.","Teavita mind, kui see kaup on saadaval."
"Shopping cart management is disabled for this customer.","Ostukorvi haldus on selle kliendi jaoks välja lülitatud."
Customers,Kliendid
"Shopping Cart",Ostukorv
"You do not have access to this.","Teil pole piisavalt õiguseid."
"An error has occurred. See error log for details.","Ilmnes tõrge. Vaata üksikasju vea-logist."
"You cannot configure a product.","Toodet ei saa konfigureerida."
"You removed the items.","Eemaldasite artiklid/tooted."
"You removed the item.","Eemaldasite artikli/toote."
"You added %1 to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"You cannot add a product.","Te ei saa toodet lisada."
"Order by SKU","Järjesta SKU järgi"
"The SKU was not found in the catalog.","Tootekoodi ei leitud kataloogist."
"Availability: Out of stock.","Saadavus: Laost otsas."
"We don't have as many of these as you want.","Meil ei ole neid nii palju kui soovite."
"You can't add this many to your cart.","Nii suurt kogust ei saa ostukorvi lisada."
"You need to choose options for your item.","Peate tegema toote juures valikud."
"We can't add the item to your cart.","Ei saa toodet ostukorvi lisada."
"Please enter an actual number in the ""Qty"" field.","Palun sisestage koguseks numbriline väärtus."
"This product is assigned to another website.","See toode on seotud teise veebilehega."
"You can add only enabled products.","Saate lisada vaid saadaval olevaid tooteid."
"You cannot upload this file.","Seda faili ei saa üles laadida."
"The file is empty.","Fail on tühi."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Te ei ole sisestanud toote SKU'd. Palun <a href=""%1""> klõpsake siin</a>, et lisada toote(te) SKU'd."
"You have not entered a product SKU.","Te ei ole sisestanud toote SKU'd."
"We can't add a product to cart by id ""%1"".","Ei saa toodet ""%1"" ostukorvi lisada."
"Something went wrong while reordering this product.","Proovisime toodet uuesti tellida. Midagi läks valesti."
"We can't find this wish list.","Kahjuks me ei suutnud leida soovide nimekirja."
"You added %1 product to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"You added %1 products to your shopping cart.","Te lisasite %1 toodet oma ostukorvi."
"%1 product requires your attention.","%1 toode vajab teie tähelepanu."
"%1 products require your attention.","%1 tooted vajavad teie tähelepanu."
"Yes, for Specified Customer Groups","Jah, valitud kliendigruppidele"
"Yes, for Everyone","Jah, kõigile"
No,Ei
"Please upload the file in .csv format.","Palun laadige fail Csv formaadis."
"%1 item(s) need your attention.","%1 üksus(ed) vajavad teie tähelepanu."
"Apply Coupon Code","Rakenda sooduskood"
"Remove Coupon Code","Eemalda sooduskood"
"The coupon code ""%1"" is not valid.","Sooduskood ""%1"" on kehtetu."
"Shopping Cart Items","Ostukorvi artiklid"
Qty,Kogus
Subtotal,Vahesumma
Discount,Allahindlus
"Row Subtotal","Rea vahesumma"
Action,Toiming
"No ordered items","Tellitud artikleid ei ole"
"Total %1 product(s)","Kokku %1 toode(id)"
Subtotal:,Vahesumma:
"Please select","Palun valige"
"Move to Wish List","Tõsta soovinimekirja"
"No item specified.","Artiklit ei ole spetsifitseeritud."
"Are you sure you want to remove this item?","Olete kindel, et soovite selle artikli eemaldada?"
"Upload File","Lae fail üles"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv-faili peab sisaldama ""sku"" ja ""qty"" veergusid."
Reset,Tühista
"SKU: ","Laokood: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Ainult <span id=""%1_max_allowed"">%2</span> laos"
Item,Toode/Artikkel
"See price before order confirmation.","Hindade näitamine enne tellimuse kinnitamist."
"What's this?","Mis see on?"
"Incl. Tax","Koos maksuga"
"Excl. Tax","Ilma maksuta"
"Edit item parameters","Muuda kauba parameetreid"
Edit,Muuda
"Remove item","Eemalda toode"
"Products Requiring Attention","Tähelepanu nõudvad tooted"
"Add to Cart","Lisa ostukorvi"
Sku,Laokood
File,Fail
"File extensions allowed: .csv","Lubatud, faililaiendid: Csv"
"Add Row","Rea lisamine"
"Remove Row","Eemaldada rida"
"Add Products By SKU","Lisa toode SKU järgi"
"Shopping Cart Management","Ostukorvi haldus"
"View Shopping Cart","Vaata ostukorvi"
"View and modify Shopping Cart","Vaata ja muuda ostukorvi"
"Order by SKU Settings","Järjesta SKU sätete järgi"
"Enable Order by SKU on My Account in Storefront","Võimalda SKU järgi sorteerimine minu kontol"
"Customer Groups",Kliendigrupid
"Apply Coupon","Rakenda kupong"
"Order by SKU Description","Sorteeri SKU kirjelduse järgi"
"Display a Link to Loading a Spreadsheet","Näita linki arvutustabelisse"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Määratleb, kas lingi minu konto &gt; Telli SKU järgi vidinas kuvatakse või mitte"
"Link Text","Lingi tekst"
"The text of the link to the My Account &gt; Order by SKU page","Minu konto lingi tekst &gt; Järjesta SKU lehe järgi"
"Load a list of SKUs","Laadi SKU'de nimekiri"
"Order by SKU Template","Sorteeri SKU malli järgi"
"Please correct the data sent.","Palun korrigeerige andmeid."
"Entity type model '%1' is not found","Olemi tüübi mudelit ""%1"" ei leitud"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Olemi tüübi mudel peab olema näiteks """" \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Ekspordiks vajalikke tootetüüpe ei ole"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klassi ei rakendada \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Müügi reegel"
"Index sales rule","Müügi reegli idekseering"
"Related Search Terms","Seotud otsingusõnad"
"Add New Search Term","Lisada uus otsisõna"
"Missing search engine parameter.","Otsingu mootori parameeter on puudu."
"Successful! Test again?","Edukas! Testime uuesti?"
"Connection failed! Test again?","Ühendus ebaõnnestus! Testin uuesti?"
"Enable Search Recommendations","Luba Ostsingu Soovitused"
"When you enable this option your site may slow down.","Kui lubate selle variandi siis võib see aeglustada teie lehte."
"Search Recommendations Count","Otsingutulemuste soovituste hulk"
"Show Results Count for Each Recommendation","Näita tulemuste arvu iga soovituse kohta"
"Enable Search Suggestions","Luba Otsingu soovitused"
"Search Suggestions Count","Otsingu soovituste hulk"
"Show Results Count for Each Suggestion","Näita tulemuste arvu iga soovituse kohta"
"Related search terms","Seotud otsingusõnad"
"Did you mean","Kas mõtlesid"
"Search Query","Otsingu päring"
Store,Pood
Results,Tulemused
Uses,Kasutuskordi
"Redirect URL","Ümbersuunamise URL-i"
"Suggested Term","Soovitatud mõiste"
Yes,Jah
"RPC call failed, connection timed out after %time_out.","RPC kõne nurjus. Ühendus aegus pärast %time_out."
"Message has been rejected: %1","Sõnum on tagasi lükatud: %1"
"Error while checking if topic is synchronous","Tekkis viga kui kontrollisime kas teema on sünkroonis"
"Subscription status","Tellimuse staatus"
"Sorry, there has been an error processing your request. Please try again later.","Kahjuks ilmnes teie taotluse töötlemisel tõrge. Proovige hiljem uuesti."
"There was an error save new configuration value.","Tekkis tõrge Salvesta uus väärtus."
"--Please Select--","--Palun Valige--"
"Cannot find predefined integration user!","Ei leitud eelmääratletud integratsiooni kasutajat!"
TestMessage,TestSõnum
"Apps and Games","Rakendused ja mängud"
"Athletic/Sporting Goods",Sporditarbed
"Art and Design","Kunst ja disain"
Analytics,Analüütika
Configuration,Seaded
"BI Essentials","BI olulisemad"
Done,Valmis
Retry,"Proovige uuesti"
"'Action Details - #' .","'Vaata lähemalt - #' ."
"Bulk Actions Log","Hulgitoimingute logi"
"%1 item(s) are currently being updated.","%1 üksust hetkel uuendatakse."
"Task ""%1"": ","Toiming ""%1"": "
Details,Üksikasjad
"View Details","Vaata lähemalt"
Dismiss,Loobu
"Pending, in queue...","Ootel, järjekorras..."
"Action Log","Tegevuste logi"
"Bulk Actions",Hulgitoimingud
"Days Saved in Log","Päeva salvestatakse logisse"
"Description of Operation","Toimingu kirjeldus"
Summary,Kokkuvõte
"Start Time",Algusaeg
Status,Staatus
"Meta Information",Metainformatsioon
Error,Viga
"Dismiss All Completed Tasks","Vabasta kõik lõpetatud ülesanded"
"Action Details - #","Vaata lähemalt - #"
"Number of Records Affected","Mõjutatud kirjete arv"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Midagi läks valesti. Kompileerisime listi lubatud ressurssidest. Rohkem infot erandite (exceptions) logist."
"You created the order.","Te lõite tellimuse."
"Order saving error: %1","Tellimuse salvestamise tõrge: %1"
"Please choose a payment method.","Valige makseviisi."
"We can't process your order right now. Please try again later.","Hetkel ei saa teie tellimust töödelda. Palun proovige hiljem uuesti."
"An error occurred on the server. Please try to place the order again.","Serveril ilmes probleem. Palun proovige tellimus uuesti esitada."
"Credit Card: xxxx-%1","Krediitkaart: xxxx-%1"
"amount %1","summa %1"
failed.,nurjus.
successful.,Õnnestus.
"Authorize.Net Transaction ID %1.","Authorize.Net tehingu ID %1."
authorize,luba
"authorize and capture","lubada ja salvesta"
capture,hõiva
refund,tagastus
void,tühine
"Gateway error: %1","Värava viga: %1"
"Something went wrong in the payment gateway.","Midagi läks valesti ja makseväravas."
"Invalid amount for capture.","Ebakorrektne summa hõiveks."
"Payment capturing error.","Viga makse hõivamises."
"Invalid transaction ID.","Sobimatu kande ID."
"Payment voiding error.","Makse tühistamise viga."
"Invalid amount for refund.","Tagastamiseks ebakorrektne summa."
"Payment refunding error.","Makse tagastamise viga."
"The transaction was declined because the response hash validation failed.","Tehingust keelduti, sest vastuse hashi valideerimine nurjus."
"This payment didn't work out because we can't find this order.","See makse ei läinud läbi, sest me ei leia sellst tellimust."
"There was a payment authorization error.","Makse autoriseerimisel esines viga."
"Please enter a transaction ID to authorize this payment.","Palun lisage tehingu ID, et seda makset autoriseerida."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Midagi läks valesti. Makstud summa ja Tellimuse summa ei klapi. Palun korrigeerige ja proovige uuesti."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tehing %1 kiideti heaks. Summa %2. Tehingu staatus on ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tehingust %1 on keeldutud või see on tühistatud. Tehingu staatus on ""%2"". Summa %3."
"Authorize Only","Lubada ainult"
"Authorize and Capture","Lubada ja salvesta"
"Unable to get transaction details. Try again later.","Ei suutnud saada tehingu andmeid. Palun proovige hiljem uuesti."
"Electronic payments save the trees.","Elektrooniline makse säästab puid."
"Credit Card Type","Krediitkaardi tüüp"
"Please Select","Palun valige"
"Credit Card Number","Krediitkaardi number"
"Expiration Date",Aegumiskuupäev
"Card Verification Number","Kaardi turvakood"
"Fraud Detection ","Pettuse tuvastamine "
"FDS Filter Action","FDS Filtri tegevus"
"AVS Response","AVS vastus"
"Card Code Response","Kaardi koodi vastus"
"CAVV Response","CAVV vastus"
"Fraud Filters","Pettuse filtrid"
"Place Order","Esita tellimus"
"Sorry, but something went wrong. Please contact the seller.","Vabandage, midagi läks valesti. Palun võtke müüjaga ühnudst."
"Authorize.net Direct Post","Authorize.net otse postitus"
Enabled,Lubatud
"Payment Action","Makse tegevus"
Title,Pealkiri
"Transaction Key","Tehingu võti"
"Merchant MD5","Kaupmehe MD5"
"New Order Status","Uue tellimuse staatus"
"Test Mode",Testrežiim
"Gateway URL","Värava URL"
"Transaction Details URL","Tehingu üksikasjade URL"
"Accepted Currency","Lubatud valuutad"
Debug,Silumine
"Email Customer","Kliendi email"
"Merchant's Email","Kaupmehe e-mail"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Krediitkaardi andmete kinnitus"
"Payment from Applicable Countries","Maksed sobivatest maadest"
"Payment from Specific Countries","Maksed konkreetsetest maadest"
"Minimum Order Total","Minimaalne tellimuse summa"
"Maximum Order Total","Maksimaalne tellimuse summa"
"Sort Order","Sorteerimise järjekord"
"Cannot place order.","Ei saa sisestada."
"Unable to place order. Please try again later.","Ei saa tellida. Palun proovige hiljem uuesti."
Environment,Keskkond
"Invalid Form Key. Please refresh the page.","Palun laadige leht uuesti. Sobimatu vormi võti."
"You entered an invalid Secret Key. Please refresh the page.","Sisestasite sobimatu salajase võtme. Palun värskendage lehte."
"Cache Storage Management","Vahemäluvaramu haldus"
"Flush Magento Cache","Tühjenda Magento vahemälu"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Vahemäluvaramu võib sisaldada lisaandmeid. Kas olete kindel et jätkame tühjendamisega?"
"Flush Cache Storage","Tühjenda kogu vahemäluvaramu"
Invalidated,"Kehtetuks tunnistatud"
Orders,Tellimused
Amounts,Summad
Bestsellers,"Enim müüdud"
"Most Viewed Products","Enim vaadatud tooted"
"New Customers","Uus klient"
Customer,Klient
Guest,Külaline
Items,Toodet
Total,Kokku
"Lifetime Sales",Kogumüük
"Average Order","Keskmine tellimus"
Average,Keskmine
Views,Vaatamisi
Revenue,Käive
Tax,Maks
Shipping,Tarne
"Images (.gif, .jpg, .png)","Pildid (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Meedia (.avi, .flv, .swf)"
"All Files","Kõik failid"
"Reset to Default","Taasta vaikesätted"
"All Store Views","Kõik poevaated"
"What is this?","Mis see on?"
"Save Account","Konto salvestamine"
"My Account","Minu konto"
"Account Information","Konto andmed"
"User Name",Kasutajatunnus
"First Name",Eesnimi
"Last Name",Perekonnanimi
Email,E-post
"User Email","Kasutaja e-post"
"New Password","Uus salasõna"
"Password Confirmation","Salasõna kinnitus"
"Interface Locale","Kasutajaliidese keelelisus"
"Current User Identity Verification","Praeguse kasutaja identiteedi tuvastamine"
"Your Password","Teie parool"
"Save Cache Settings","Vahemälu sätete salvestus"
"Catalog Rewrites","Kataloogi suunamised"
Refresh,Värskenda
"Images Cache","Piltide vahemälu"
Clear,Puhasta
"Search Index","Otsingu indeks"
Rebuild,"Loo uuesti"
"Inventory Stock Status","Laoseisu olek"
"Rebuild Catalog Index","Kataloogi indeksi uuesti koostamine"
"Rebuild Flat Catalog Category","Lame kataloogi kategooriate uuesti ehitamine"
"Rebuild Flat Catalog Product","Lame kataloogi toodete uuesti ehitamine"
"Cache Control","Vahemälu juhtimine"
"All Cache","Kogu vahemälu"
"No change",Muutusteta
Disable,Keela
Enable,Luba
"Add Design Change","Lisa kujunduse muudatus"
Delete,Kustuta
Save,Salvesta
"Edit Design Change","Muuda kujunduse muudatust"
"New Store Design Change","Uus poe kujunduse muudatus"
"General Settings",Üldseaded
"-- Please Select --","-- Vali --"
"Custom Design","Kujunduse kohandus"
"Date From","Alates kuupäevast"
"Date To","Kuni kuupäevani"
"Design Change","Kujunduse muudatus"
General,Üldine
"Delete %1 '%2'","Kustuta %1 '%2'"
"Delete %1","Kustuta %1"
"Block Information","Plokki teave"
"Backup Options",Varundussuvandid
"Create DB Backup","Loo uus DB varukoopia"
"Delete Store","Kustuta pood"
"Delete Web Site","Kustuta veebisait"
"Save Web Site","Salvesta veebisait"
"Save Store","Salvesta pood"
"Save Store View","Salvesta poevaade"
"Delete Store View","Kustuta poevaade"
"Edit Web Site","Muuda veebisaiti"
"New Web Site","Uus veebileht"
"Edit Store","Muuda poodi"
"New Store","Uus pood"
"Edit Store View","Muuda poevaadet"
"New Store View","Uus poevaade"
"Store Information",Poeteave
"Web Site",Veebisait
Name,Nimi
Code,Kood
"Root Category",Juurkategooria
"Default Store View","Vaikimisi poevaade"
"Store View Information","Poevaate informatsioon"
Disabled,Keelatud
"Web Site Information","Veebilehe informatsioon"
"Default Store","Vaikimisi pood"
"Set as Default","Määra vaikeseadeks"
Stores,Poed
"Create Website","Loo veebisait"
"Create Store","Lisa pood"
"Create Store View","Lisa poevaade"
Home,Avaleht
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Add New Image","Lisa Uus Pilt"
"Export block for grid %1 is not defined","Eksport plok grid %1 on määratlemata"
"Reset Filter","Tühista piirangud"
Search,Otsi
Any,Kõik
"All Countries","Kõik riigid"
From,Kellelt
To,Kellele
"Date selector","Kuupäeva valija"
"Select All","Vali kõik"
"We couldn't find any records.","Ei leidnud ühtegi kirjet."
"Add New","Lisa uus"
"Invalid export type supplied for grid export block","Andsite vigase ekspordi tüübi grid ekspordi ploki jaoks"
Export,Eksport
"Please correct the column format and try again.","Parandage veeruvormingut ja proovige uuesti."
Submit,Saada
"Unknown block type","Tundmatu ploki tüüp"
"Please correct the tab configuration and try again. Tab Id should be not empty","Palun parandage vahekaardi sätteid ja proovige uuesti. Vahekaardi Id ei tohiks olla tühi"
"Please correct the tab configuration and try again.","Parandage vahekaardi sätteid ja proovige uuesti."
"You have logged out.","Sa logisid välja."
"The image cache was cleaned.","Pildi vahemälu puhastati."
"An error occurred while clearing the image cache.","Pildi vahemälu puhastamisel ilmnes viga."
"The JavaScript/CSS cache has been cleaned.","JavaScripti/CSS vahemälu on puhastatud."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScripti/CSS-i vahemälu puhastamisel ilmnes viga."
"The static files cache has been cleaned.","Staatiliste failide vahemälu puhastatud."
"You flushed the cache storage.","Vahemälu hoidla tühjendatud."
"The Magento cache storage has been flushed.","Magento vahemälu hoida puhastatud."
"Cache Management","Vahemälu haldus"
"%1 cache type(s) disabled.","%1 vahemälu tüüp (tüübid) keelatud."
"An error occurred while disabling cache.","Vahemälu keelamisel ilmnes viga."
"%1 cache type(s) enabled.","%1 vahemälu(d) lubatud."
"An error occurred while enabling cache.","Vahemälu lubamisel ilmnes viga."
"%1 cache type(s) refreshed.","%1 vahemälu(d) tüübid värskendatud."
"An error occurred while refreshing cache.","Vahemälu värskendamisel ilmnes viga."
Dashboard,Töölaud
"We updated lifetime statistic.","Uuendasime LifeTime statistikat."
"invalid request","vigane päring"
"see error log for details","vaata üksikasju tõrkelogist"
"Service unavailable: %1","Teenus pole saadaval: %1"
"Access Denied.","Ligipääs keelatud."
"You need more permissions to do this.","Vajate rohkem õiguseid, et seda teha."
"No search modules were registered","Ühtegi otsingumoodulit ei ole registreeritud"
"Please make sure that all global admin search modules are installed and activated.","Veenduge, et kõik globaalsed admin Otsi-moodulid oleks installitud ja aktiveeritud."
"You saved the account.","Konto salvestatud."
"An error occurred while saving account.","Konto salvestamisel ilmnes viga."
"You deleted the design change.","Kustutasite kujunduse muutmise."
"You can't delete the design change.","Kujunduse muutmist ei saa kustutada."
"Store Design",Poekujundus
"Edit Store Design Change","Muuda Poe kujunduse muudatust"
"You saved the design change.","Salvestasite kujunduse muutmise."
System,Süsteem
"Manage Stores","Halda poode"
"The database was backed up.","Andmebaas varundatud."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 kustutamine ei kustuta seotud teavet %1 (nt kategooriad, toodete jne), kuid %1 ei saa taastada. Enne %1 kustutamist on soovitatav teha andmebaasi varundus."
"Something went wrong. Please try again.","Midagi läks valesti. Palun proovige uuesti."
"This store cannot be deleted.","Seda poodi ei õnnestu kustutada."
"You deleted the store.","Pood kustutatud."
"Unable to delete the store. Please try again later.","Poe kustutamine ebaõnnestus. Proovi hiljem uuesti."
"This store view cannot be deleted.","Seda poevaadet ei õnnestu kustutada."
"Store View",Poevaade
"You deleted the store view.","Poevaade kustutatud."
"Unable to delete the store view. Please try again later.","PoeVaate kustutamine ebaõnnestus. Proovi hiljem uuesti."
"This website cannot be deleted.","Veebisaiti ei saa kustutada."
"You deleted the website.","Veebisait on kustutatud."
"Unable to delete the website. Please try again later.","Ei saa kustutada veebilehte. Proovige hiljem uuesti."
"The website does not exist.","Veebisaiti ei leitud."
"Before modifying the website code please make sure it is not used in index.php.","Enne veebisaidi koodi muutmist veenduge, et seda ei ole kasutatud index.php-s."
"The store does not exist","Poodi ei leitud"
"Store view doesn't exist","Poevaadet ei ole olemas"
"Before modifying the store view code please make sure it is not used in index.php.","Enne poevaate koodi muutmist veenduge, et seda ei ole kasutatud index.php-s."
"New ","Uus "
"All Stores","Kõik poed"
"You saved the website.","Salvestasite veebilehe."
"The default store cannot be disabled","Vaikimisi pood ei saa olla keelatud"
"You saved the store view.","Poevaade salvestatud."
"An inactive store view cannot be saved as default store view","Passiivset poevaadet ei saa vaikevaateks seadistada"
"You saved the store.","Pood salvestatud."
"Something went wrong while saving. Please review the error log.","Salvestamisel läks midagi valesti. Palun uurige vea-logist."
"Authentication storage is incorrect.","Pääsulubade salvestuskoht on vigane."
"Last 24 Hours","Viimased 24 tundi"
"Last 7 Days","Viimased seitse päeva"
"Current Month","Käesolev kuu"
YTD,"Aasta algusest"
2YTD,"Eelmise aasta algusest"
Order,Tellimus
"Order #%1","Tellimus #%1"
"Welcome, please sign in","Tere, palun logi sisse"
Username,Kasutajatunnus
"user name",kasutajatunnus
Password,Salasõna
password,salasõna
"Sign in","Logi sisse"
"No Data Found","Andmeid ei leitud"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Graafik on välja lülitatud. Graafiku aktiveerimiseks vajutage <a href=""%1"">siia</a>."
"Select Range:","Vali vahemik:"
"Last Orders","Viimased tellimused"
"Last Search Terms","Viimased otsingu tingimused"
"Top Search Terms","Populaarseimad otsinguterminid"
"There are no search keywords.","Puuduvad otsingu märksõnad."
"View Statistics For:","Saate vaadata statistikat:"
"All Websites","Kõik veebisaidid"
"Reload Data","Lae andmed uuesti"
"Browse Files...","Vali failid..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Kasutusõigused © %1 Magento Commerce Inc. Kõik õigused kaitstud."
"Magento Admin Panel","Magento haldusliides"
"Account Setting","Konto seaded"
"Customer View","Kliendi vaade"
"Sign Out","Logi välja"
"About the calendar",Kalendrist
"Go Today","Mine täna"
Previous,Eelmine
Next,Järgmine
WK,NDL
Time,Aeg
Hour,Tund
Minute,Minut
"JavaScript may be disabled in your browser.","Võimalik, et Brauseri JavaScript on välja lülitatud."
"To use this website you must first enable JavaScript in your browser.","Selle veebisaidi kasutamiseks peate esmalt lubama JavaScripti oma brauseris."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","See on ainult demo pood. Tellimusi ei täideta."
"Report an Issue","Tevita probleemist"
"Stores Configuration","Salvestab konfiguratsiooni"
"Additional Cache Management","Täiendav vahemälu haldus"
"Flush Catalog Images Cache","Puhasta tootekataloogi piltide vahemälu"
"Pregenerated product images files","Eelgenereeritud toodepildid"
"Flush JavaScript/CSS Cache","Puhasta JavaScripti/CSS-i vahemälu"
"Themes JavaScript and CSS files combined to one file","Üheks failiks kokku liidetud JavaScripti ja CSS-i failid"
"Flush Static Files Cache","Staatiliste failide vahemälu tühjendamine"
Catalog,Kataloog
"JavaScript/CSS Cache","Javascript/CSS vahemälu"
"No records found.","Kirjeid ei leitud."
Images,Pildid
"Big Image","Suur pilt"
Thumbnail,Pisipilt
"Additional Settings","Täiendavad seaded"
"records found","kirjet leitud"
selected,valitud
"per page","lehe kohta"
"Previous page","Eelmine leht"
"of %1",%1
"Next page","Järgmine leht"
"Export to:",Ekspordi:
"Mass Actions",Masstegevused
"Unselect All","Eemalda valikud"
"Select Visible","Vali nähtavad"
"Unselect Visible","Tühista nähtavad"
"Changes have been made to this section that have not been saved.","Siin tehtud muudatused ei ole veel salvestatud."
"The information in this tab has been changed.","Selle vahekaardi informatsioon on muutunud."
Loading...,Laadin...
"User Agent Rules","Kasutaja Agendi reeglid"
